Banks,Branch,Code,Country,Town,
ABC,Bindura,21520,Zimbabwe,Bindura,Bindura
ACL,Private Banking Centre,31100,ZIMBABWE,Harare,"153 Josiah Chinamano Avenue, Harare"
ACL,Machipisa,31101,ZIMBABWE,Harare,"122 Mangwende Drive, Machipisa , Highfield"
AGR,Human Resources,10114,Zimbabwe,Harare,Harare
AGR,AGR,10547,Zimbabwe,Harare,AGR
AGR,AGR,10123,Zimbabwe,Harare,AGR
AGR,Central Operations,10117,Zimbabwe,Harare,Harare
AGR,Treasury,10115,Zimbabwe,Harare,Harare
AGR,Bindura/Mount Darwin/Rushinga/Nzvimbo,10503,ZIMBABWE,Bindura,
AGR,Inala House Bulawayo,10304,ZIMBABWE,Bulawayo,
AGR,Chinhoyi/Murombedzi,10505,ZIMBABWE,Chinhoyi,
AGR,Gokwe/Sanyati,10512,ZIMBABWE,Gokwe,
AGR,Gwanda/Maphisa/Filabusi,10516,ZIMBABWE,Gwanda,
AGR,Head Office,10102,ZIMBABWE,Harare,
AGR,Karoi/Magunje,10513,ZIMBABWE,Karoi,
AGR,Marondera/Murewa/Mutoko/Wedza/Kotwa,10507,ZIMBABWE,Marondera,
AGR,Masvingo/Gutu/Nyika/Jerera/Chivi,10508,Zimbabwe,Masvingo,
AGR,Mvurwi,10510,ZIMBABWE,Mvurwi,
AGR,Nelson Mandela/Beatrice/Mubaira,10101,ZIMBABWE,Harare,
AGR,York House Bulawayo,10357,ZIMBABWE,Bulawayo,
AGR,Binga,10558,ZIMBABWE,Binga,
AGR,Jason Moyo Bulawayo,10345,ZIMBABWE,Bulawayo,
AGR,Chipinge/Checheche,10541,ZIMBABWE,Chipinge,
AGR,Chegutu,10522,ZIMBABWE,Chegutu,
AGR,Chiredzi,10518,ZIMBABWE,Chiredzi,
AGR,Hwange,10559,ZIMBABWE,Hwange,
AGR,Lupane,10351,ZIMBABWE,Bulawayo,
AGR,Mutare/Nyanga/Chimanimani,10509,ZIMBABWE,Mutare,
AGR,Norton,10517,ZIMBABWE,Norton,
AGR,Robert Mugabe,10143,ZIMBABWE,Harare,
AGR,Rusape/Murambinda,10520,ZIMBABWE,Rusape,
AGR,Guruve,10519,ZIMBABWE,Guruve,
AGR,AGRgold,10163,ZIMBABWE,Harare,
AGR,Corporate,10161,Zimbabwe,Harare,
AGR,WESTGATE,10111,ZIMBABWE,Harare,
AGR,CHIBUWE,10562,ZIMBABWE,Mutare,
AGR,Hauna,10521,ZIMBABWE,Hauna,
AGR,Beitbridge,10549,ZIMBABWE,Beitbridge,
AGR,GWERU,10506,Zimbabwe,Gweru,77 6TH ST HURUDZA HOUSE
BABC,Ngezi,21509,Zimbabwe,Ngezi,
BABC,Victoria Falls,21516,ZIMBABWE,Victoria Falls,"Shop 6 Galleria Building, Stand 321 Victoria Falls Township"
BABC,Hotsprings,21514,ZIMBABWE,Chimanimani,"Nyanyadzi Growth Point, Hotsprings Resort"
BABC,Redcliff,21515,ZIMBABWE,Redcliff,"Shop 7, 8, 9 CABS Building"
BABC,Graniteside,21115,ZIMBABWE,Harare,Cnr Seke/Cam Road
BABC,Harare,21021,ZIMBABWE,Harare,
BABC,Chiredzi,21506,ZIMBABWE,Chiredzi,
BABC,Kwekwe,21507,ZIMBABWE,Kwekwe,
BABC,Southerton,21117,Zimbabwe,Harare,
BABC,Head Office,21101,ZIMBABWE,Harare,
BABC,Belgravia,21110,Zimbabwe,Harare,
